,1step,10steps,100steps
MMAML (SOTA),0.57,0.6,0.6
TSA-MAML (SOTA),0.5,0.65,0.66
Reptile,0.57,0.6,0.62
Reptile (3 models),0.57,0.6,0.61
Reptile (5 models),0.61,0.64,0.65
MAML,0.35,0.46,0.49
MAML (3 models),0.34,0.46,0.46
MAML (5 models),0.4,0.47,0.48
Multi-Reptile,0.58,0.63,0.64
Multi-MAML,0.34,0.56,0.56
Reptile_3 (oracle),0.6,0.62,0.64
Reptile_5 (oracle),0.59,0.64,0.65
MAML_3 (oracle),0.41,0.62,0.65
MAML_5 (oracle),0.49,0.66,0.67
