,1step,10steps,100steps
MMAML (SOTA),1.29,0.91,1.08
TSA-MAML (SOTA),8.49,5.19,5.0
Reptile,5.17,2.95,2.54
Reptile (3 models),1.67,0.66,0.53
Reptile (5 models),1.44,0.71,0.56
MAML,3.01,1.56,1.2
MAML (3 models),2.23,0.93,0.83
MAML (5 models),2.31,1.06,0.85
Multi-Reptile,1.35,0.47,0.4
Multi-MAML,1.34,0.72,0.67
Reptile_3 (oracle),1.67,0.66,0.53
Reptile_5 (oracle),1.28,0.48,0.37
MAML_3 (oracle),3.55,0.81,0.66
MAML_5 (oracle),3.58,0.6,0.56
