,1step,10steps,100steps
MMAML (SOTA),0.45,0.51,0.51
TSA-MAML (SOTA),0.43,0.58,0.58
Reptile,0.47,0.48,0.49
Reptile (3 models),0.49,0.5,0.51
Reptile (5 models),0.52,0.53,0.54
MAML,0.38,0.48,0.51
MAML (3 models),0.37,0.53,0.54
MAML (5 models),0.38,0.5,0.51
Multi-Reptile,0.46,0.48,0.49
Multi-MAML,0.36,0.52,0.51
Reptile_3 (oracle),0.48,0.5,0.52
Reptile_5 (oracle),0.51,0.53,0.54
MAML_3 (oracle),0.32,0.48,0.5
MAML_5 (oracle),0.34,0.51,0.53
