,1step,10steps,100steps
MMAML (SOTA),0.82,0.69,0.98
TSA-MAML (SOTA),3.93,2.19,1.98
Reptile,2.87,1.38,1.32
Reptile (3 models),1.47,0.82,0.74
Reptile (5 models),1.16,0.59,0.55
MAML,2.23,1.28,1.13
MAML (3 models),2.64,0.83,0.65
MAML (5 models),1.65,0.76,0.44
Multi-Reptile,1.75,0.75,0.65
Multi-MAML,1.03,0.3,0.22
Reptile_3 (oracle),1.31,0.59,0.52
Reptile_5 (oracle),1.01,0.42,0.38
MAML_3 (oracle),2.61,0.68,0.55
MAML_5 (oracle),2.19,0.45,0.37
