,1step,10steps,100steps
MMAML (SOTA),0.4,0.07,0.03
TSA-MAML (SOTA),3.54,0.92,0.62
Reptile,2.72,0.53,0.41
Reptile (3 models),0.92,0.22,0.13
Reptile (5 models),0.54,0.11,0.06
MAML,1.54,0.22,0.11
MAML (3 models),4.56,0.34,0.18
MAML (5 models),1.83,0.16,0.06
Multi-Reptile,1.17,0.08,0.04
Multi-MAML,1.04,0.16,0.01
Reptile_3 (oracle),0.92,0.17,0.1
Reptile_5 (oracle),0.6,0.1,0.04
MAML_3 (oracle),5.39,0.19,0.11
MAML_5 (oracle),1.82,0.07,0.04
